channel_artiste_id,collection_owners,collection_id,collection_title,release_year,collection_type,update_time
UC3XOjF6pqQWILVLbZofrg2Q,Falz,MPREb_Zhx8KO9d1Q7,#Bants Season 1,2015.0,Single,01/01/2023 21:31
UCN9qKC5eDclxImYAmomI5Cw,Ruger,MPREb_pfZ7HQ1PV0R,#Clappingsoundchallenge,2021.0,Single,02/01/2023 00:44
UCUNNGmpQ75t0GZII3coI8rg,Ckay,MPREb_4zO9Jem8vKd,#WTFiCkay,2017.0,EP,01/01/2023 20:41
UClVDzJUSV0X_tp2sceFHsxA,Yemi Alade,MPREb_1CjGnHpfw4C,'Poverty' (Swahili Version) [Live Session],2020.0,Single,02/01/2023 01:56
UCLmx929V5XB__omAboRPkPA,BPR & Naira Marley,MPREb_ugOBtXLdIe7,+44 (BPR Vs. Naira Marley),2018.0,Single,01/01/2023 23:54
UCGtze7Z8rdM84EHTihPLmQQ,Laycon,MPREb_ooluEknTfBY,...Shall We Begin...,2021.0,Album,01/01/2023 23:12
UC_cE27XR3vVFMf4sYZVsj3A,"Olamide, Phyno & Major Bangz",MPREb_3yRqXXg4HyU,1,2017.0,Single,02/01/2023 00:26
UCewvfSec6vlYgRV_cnMjU3g,"Olamide, Phyno & Major Bangz",MPREb_3yRqXXg4HyU,1,2017.0,Single,02/01/2023 00:01
UCmcJ2ThWCw9id0Yjjqu4HVg,PaBrymo & Teni,MPREb_wXFRqtsQaAh,1 of 1,2021.0,Single,02/01/2023 01:12
UCNwUllQh84NeUHB56vTBAFw,Masterkraft & Tekno,MPREb_q5nKG3jSrbt,10 Sure Oddz,2022.0,Single,02/01/2023 01:09
UCl61Ij0v5ulMS0UxvAxsXcg,P-Square,MPREb_q167j6XYKia,100 City World Tour,2022.0,Album,02/01/2023 00:15
UCFXYNi16itKb_3u6u79_Gpw,"Dj Yankee, Blaqbonez & Cheque",MPREb_8j6NtPfu85z,1000 YEAR$,2021.0,Single,01/01/2023 20:13
UCn-MpywoDcRk60F-EbyR8Nw,Cina Soul & Pheelz,MPREb_OAWtZ9XDtyE,12:01 (ADM Remix),2018.0,Single,02/01/2023 00:25
UCO4TFKYiSDo7vOQC04mr7Fg,Ayra Starr,MPREb_16PunhuJ5TD,19 & Dangerous,2021.0,Album,01/01/2023 19:56
UCO4TFKYiSDo7vOQC04mr7Fg,Ayra Starr,MPREb_TSK62oHz24R,19 & Dangerous (Deluxe),2022.0,Album,01/01/2023 19:56
UCSA0ZddQC0SU0IlV6XIgbvA,1da Banton,UCSA0ZddQC0SU0IlV6XIgbvA_Videos,1da Banton_Videos,,Videos,01/01/2023 19:22
UCewvfSec6vlYgRV_cnMjU3g,Olamide & Phyno,MPREb_drsVE9Zdfiv,2 Kings,2015.0,Album,02/01/2023 00:01
UC_cE27XR3vVFMf4sYZVsj3A,Olamide & Phyno,MPREb_drsVE9Zdfiv,2 Kings,2015.0,Album,02/01/2023 00:26
UCAVkIPc4lvGShZ2LVoD8loQ,Praiz,MPREb_HFhq0fGgyKQ,2 Mins,2018.0,EP,02/01/2023 00:32
UCUDkrpNBRUTZxeNpZCemDuw,Timaya,MPREb_d4uvAjQltuQ,2 Stoopid,2019.0,Single,02/01/2023 01:31
UCr61sufuLt7_eB7ak1bXHIg,Burna Boy,MPREb_zaZHtN5oDH6,20 10 20,2020.0,Single,01/01/2023 20:24
UCD6eR__YSGlBQ0rpx1Do6Uw,Chike,MPREb_7w7J57lV3wH,20.10.20 (Wahala Dey),2020.0,Single,01/01/2023 20:36
UCGtze7Z8rdM84EHTihPLmQQ,Laycon & Toby Shang,MPREb_toEGWyRsiiR,2000,2022.0,Single,01/01/2023 23:12
UC2yYpgqxoUwu00Y3TMZ6cNA,Tipsy Cole & Ice Prince,MPREb_Q5xCjtQXm8h,2020,2020.0,Single,01/01/2023 22:20
UC3XOjF6pqQWILVLbZofrg2Q,Falz,MPREb_fWVjxgSDwGE,27,2017.0,Album,01/01/2023 21:31
UCXpwMBkmVT2PXVmMmAXateg,Clemzy & Ajebo Hustlers,MPREb_HnX9hSi8JOf,2AM In Da Club,2022.0,Single,01/01/2023 19:49
UCpV3CYhchNHi1KnmnMU76IQ,2Baba,UCpV3CYhchNHi1KnmnMU76IQ_Videos,2Baba_Videos,,Videos,01/01/2023 19:25
UCP-_jH7CH7xXEDfAsWJLiCw,Korede Bello,MPREb_DZ3u6jYRCvD,2Geda,2018.0,Single,01/01/2023 23:07
UCh-VZa381UUDND3OtMKLudg,Victony,MPREb_eqF11wClPmX,2mins in Space,2019.0,Single,02/01/2023 01:46
UCx5IlXXEC_mzhxPsbu_XJlw,Peruzzi,MPREb_uL60kfQEpIL,3,2020.0,Single,02/01/2023 00:23
UC3XOjF6pqQWILVLbZofrg2Q,Falz,MPREb_x6AS2KFHQXp,406 Na D Code (feat. Skales & Tekno),2016.0,Single,01/01/2023 21:31
UClK0GMAh7JMRRgyT7H85dUw,Flavour & Chidinma,MPREb_CY5KP1Yba19,40Yrs Everlasting,2019.0,EP,01/01/2023 21:49
UCLmx929V5XB__omAboRPkPA,Baddy Oosha & Naira Marley,MPREb_MhRgZBorbSt,44-4 Foti,2019.0,Single,01/01/2023 23:54
UCbEIMwqhkeaqddlqQSDI5cw,Tiwa Savage,MPREb_yxSzwnP8hdI,49-99,2019.0,Single,02/01/2023 01:37
UCy6qn2oxmoXA4_gBA5Q7zPw,"Manny Norté, 6LACK, Rema & Tion Wayne",MPREb_5DYD894AsRn,4AM (feat. Love Renaissance (LVRN)),2020.0,Single,02/01/2023 00:38
UClXTl2OdJ-BE89kw4csTYiA,Kizz Daniel,MPREb_1r45cs6M12X,4DAYZ,2018.0,Single,01/01/2023 23:02
UCP-_jH7CH7xXEDfAsWJLiCw,Korede Bello,MPREb_an1LfpBu5Gv,4eva,2012.0,Single,01/01/2023 23:07
UCh71_mg-mGM1WzZVtqkBuMA,Zlatan,MPREb_rDRQDBjv5Gi,4nights in Ekohtiebo,2019.0,Single,02/01/2023 02:10
UCw9FlX9lYekHPRw6_9SLWOA,Adekunle Gold,MPREb_6tGZ8GhPGwu,5 Star,2022.0,Single,01/01/2023 19:42
UCw9FlX9lYekHPRw6_9SLWOA,Adekunle Gold & Rick Ross,MPREb_aNuqotVUff2,5 Star (with Rick Ross),2022.0,Single,01/01/2023 19:42
UC3XOjF6pqQWILVLbZofrg2Q,Falz,MPREb_JATROrnJfBs,5 Years From Now,2015.0,Single,01/01/2023 21:31
UCHxEAq_D6CJ1sn0tocJ6GdA,"Tony Ross, Joeboy, & Layzee Ella",MPREb_vcxQue1uhxC,50 Miss Calls (drill mix),2021.0,Single,01/01/2023 22:49
UCe3NRsuZReq3BC3rYGnINTg,Duncan Mighty,MPREb_UPJXndhPaTk,51 Lex Presents Ese (feat. el Zaccal),2013.0,EP,01/01/2023 21:13
UCe3NRsuZReq3BC3rYGnINTg,Duncan Mighty,MPREb_UFHH6wtSWqt,51lex Presents Dance for Me,2011.0,Album,01/01/2023 21:13
UCAVkIPc4lvGShZ2LVoD8loQ,Praiz,MPREb_1gkpkak1N4V,69 (feat. Burna Boy & Ikechukwu),2016.0,Single,02/01/2023 00:32
UCSXSWWhrP3C_lhUqO3qH6xw,Niniola,MPREb_Qy4i4gT5Mwj,6th Heaven,2021.0,EP,01/01/2023 23:57
UCCsgq_4leY82ad-MaGw8BAQ,Vector,MPREb_7dTzQOZdaog,8,2015.0,Single,02/01/2023 01:43
UCcHJhU4S-CbjEJY-8bCxegA,EMO Grae & Buju,MPREb_oB00yZG7WrP,903,2020.0,Single,01/01/2023 20:16
UCSdKuswRnuEUmXu-ikPxqbA,SHAIMA & Skales,MPREb_yatWWymp5tl,911 (Rxwntree Remix),2019.0,Single,02/01/2023 00:56
UCewvfSec6vlYgRV_cnMjU3g,Olamide,MPREb_HfIFSpuR82B,999,2020.0,Album,02/01/2023 00:01
UCehhqT7086Y04HAQ121lu3g,Davido,MPREb_M3vhV0opsZH,A Better Time,2020.0,Album,01/01/2023 20:57
UCcHJhU4S-CbjEJY-8bCxegA,Buju,MPREb_ZfRwDMQqvJ4,A Day in Lagos,2018.0,Single,01/01/2023 20:16
UCehhqT7086Y04HAQ121lu3g,Davido,MPREb_LJmJYkoXV9J,A Good Time,2019.0,Album,01/01/2023 20:57
UCXg6YtKpgC59gRKUfxQw8Fw,Tems,MPREb_z9qayVTiraI,A Kind Of Magic (Live Performance at Coke Studio Global),2022.0,Single,02/01/2023 01:12
UCXVjLgq7BRStQjKLnN-4o-w,M.I Abaga,MPREb_bzUtKlC9JFk,A Study On Self Worth: Yxng Dxnzl,2018.0,Album,01/01/2023 23:20
UCrGWxOYNj1pgNG-Ktt_TP4Q,Rexxie,MPREb_eRAOHcSkAZJ,A True Champion,2021.0,Album,02/01/2023 00:41
UCoFTT1b0bB7oXarWEa94Aow,The Cavemen,MPREb_gXPHV626Lun,ADAUGO,2022.0,Single,01/01/2023 20:32
UC_lPr6_5dcv_1sOP_9Cubmg,WurlD,MPREb_MsCvJJPBZDr,AFROSOUL (Deluxe),2020.0,Album,02/01/2023 01:54
UCw9FlX9lYekHPRw6_9SLWOA,Adekunle Gold & Nailah Blackman,MPREb_lnJg43P2Vc4,AG Baby,2020.0,Single,01/01/2023 19:42
UCbZKI-afOAF_gewoFoY-oXg,"Pappy Kojo, GuiltyBeatz, Mr Eazi & Patapaa",MPREb_IZZE9khMdfM,AKWAABA,2018.0,Single,01/01/2023 23:44
UCt7KNkaOhBpesOJHMx2ASnw,Fireboy DML,MPREb_9CxxmUZB4a6,APOLLO,2020.0,Album,01/01/2023 21:45
UCO4TFKYiSDo7vOQC04mr7Fg,Ayra Starr,MPREb_zZ5nAno56uL,ASE - A COLORS SHOW,2022.0,Single,01/01/2023 19:56
UC4VD3HwywldtzElu_kTfM_g,Magixx,MPREb_wQtsPzJm3rn,ATOM,2022.0,EP,01/01/2023 23:25
UCdIr60BXL9Vgs3Wgdce5O4g,AV,UCdIr60BXL9Vgs3Wgdce5O4g_Videos,AV_Videos,,Videos,2-1-2023 10:19
UCz4lijjm1xm7rJcip3ac65g,Oxlade,MPREb_6fwddGRq4sQ,AWAY,2020.0,Single,02/01/2023 00:14
UC2yYpgqxoUwu00Y3TMZ6cNA,IcePrince,MPREb_6wBY0QylcTa,Aboki,2012.0,Single,01/01/2023 22:20
UCw9FlX9lYekHPRw6_9SLWOA,Adekunle Gold,MPREb_jdhuchQ7niO,About 30,2018.0,Album,01/01/2023 19:42
UCLmx929V5XB__omAboRPkPA,"Rexxie, Naira Marley & Skiibii",MPREb_Y2bxAUayTbE,Abracadabra,2022.0,Single,01/01/2023 23:54
UCrGWxOYNj1pgNG-Ktt_TP4Q,"Rexxie, Naira Marley & Skiibii",MPREb_Y2bxAUayTbE,Abracadabra,2022.0,Single,02/01/2023 00:41
UCbZKI-afOAF_gewoFoY-oXg,"Boj, DaVido & Mr Eazi",MPREb_vU4NwVco2Tp,Abracadabra,2020.0,Single,01/01/2023 23:44
UCehhqT7086Y04HAQ121lu3g,"BOJ, Mr Eazi & Davido",MPREb_HR1pMRac1i0,Abracadabra,2020.0,Single,02/12/2022 12:27
UCbZKI-afOAF_gewoFoY-oXg,"BOJ, Mr Eazi & Davido",MPREb_HR1pMRac1i0,Abracadabra,2020.0,Single,02/12/2022 14:04
UCkpbqiPnZMHiUEoR0cZgo2Q,"Rexxie, Naira Marley & Skiibii",MPREb_Y2bxAUayTbE,Abracadabra,2022.0,Single,02/01/2023 01:01
UCehhqT7086Y04HAQ121lu3g,"Boj, DaVido & Mr Eazi",MPREb_vU4NwVco2Tp,Abracadabra,2020.0,Single,01/01/2023 20:57
UC3XOjF6pqQWILVLbZofrg2Q,Ajebutter22 & Falz,MPREb_FJtf4cwaJj6,Abroad,2014.0,Single,01/01/2023 21:31
UC4X7v-1s1W6XPq8g0Zs2VMw,Patoranking,MPREb_E5VmDtj4s0N,Abule,2020.0,Single,02/01/2023 00:19
UC4X7v-1s1W6XPq8g0Zs2VMw,Patoranking,MPREb_yzyzH7okCTj,Abule,2020.0,Single,02/12/2022 14:51
UCewvfSec6vlYgRV_cnMjU3g,Olamide,MPREb_xEG3xJ9o9k3,Abule Sowo,2016.0,Single,02/01/2023 00:01
UC_cE27XR3vVFMf4sYZVsj3A,Zoro & Phyno,MPREb_oG7PPzlgMzO,Achikolo,2016.0,Single,
UCe7IJd_8FJIETlOyhMvKU7A,Zoro & Phyno,MPREb_oG7PPzlgMzO,Achikolo,2016.0,Single,
UCe7IJd_8FJIETlOyhMvKU7A,Zoro,MPREb_KRycHDdNyp3,Achikolo,2019.0,Single,02/01/2023 02:13
UCe7IJd_8FJIETlOyhMvKU7A,Zoro,MPREb_giwRZVIonl0,Achikolo (feat. Phyno),2016.0,Single,02/01/2023 02:13
UCr61sufuLt7_eB7ak1bXHIg,Burnaboy,MPREb_5qY2KjuyhqH,Acting Bad,2016.0,Single,01/01/2023 20:24
UCr61sufuLt7_eB7ak1bXHIg,Saeon & Burna Boy,MPREb_huuwwxWcC58,Acting Bad,2016.0,Single,01/01/2023 20:24
UCzcjw-vbU2cDJ9ZySwb4uIg,D'Banj,MPREb_5Iu7zQsqDPW,Action,2018.0,Single,01/01/2023 21:09
UCehhqT7086Y04HAQ121lu3g,Stonebwoy & Davido,MPREb_sGDAWyiwbh3,Activate,2020.0,Single,01/01/2023 20:57
UCSA0ZddQC0SU0IlV6XIgbvA,1da Banton,MPREb_1LcpLuakIAE,Activate,2015.0,Single,01/01/2023 19:22
UCSXSWWhrP3C_lhUqO3qH6xw,Niniola,MPREb_J4l19TMMagu,Addicted,2020.0,Single,02/12/2022 14:20
UCSXSWWhrP3C_lhUqO3qH6xw,Niniola,MPREb_whTUgVFosTf,Addicted,2020.0,Single,01/01/2023 23:57
UCfuByKJ2B06MHdKXSnLM7Qg,Guchi,MPREb_6nDXx2N1o6m,Addicted,2019.0,Single,01/01/2023 22:03
UCfuByKJ2B06MHdKXSnLM7Qg,Guchi,MPREb_I9hK8H4TOZ2,Addicted,2019.0,Single,02/12/2022 13:10
UCw9FlX9lYekHPRw6_9SLWOA,Adekunle Gold,UCw9FlX9lYekHPRw6_9SLWOA_Videos,Adekunle Gold_Videos,,Videos,01/01/2023 19:42
UCw9FlX9lYekHPRw6_9SLWOA,"Afro Nation, Bisa Kdei & Adekunle Gold",MPREb_B4DUgp7BswZ,Adiza,2019.0,Single,02/12/2022 11:31
UCw9FlX9lYekHPRw6_9SLWOA,"Afro Nation, Bisa Kdei & Adekunle Gold",MPREb_teqXeqFSzLv,Adiza,2019.0,Single,01/01/2023 19:42
UCNBHI-xURToYIk3Xwkicdmw,Liya & Simi,MPREb_AgwR5K8Xrnr,Adua (Remix),2022.0,Single,02/01/2023 00:52
UCh71_mg-mGM1WzZVtqkBuMA,"Zlatan, Lakizo Entertainment & Ceeza Milli",MPREb_2RcRFs1vfaE,Adugbo (Rep Your Hood),2019.0,Single,02/01/2023 02:10
UCeM_6KLtHjn1xd3fShyqONQ,Dsaabs & Bella Shmurda,MPREb_BhEbilcatTb,Adura,2020.0,Single,01/01/2023 20:10
UCeM_6KLtHjn1xd3fShyqONQ,Bella Shmurda & Mohbad,MPREb_U5YxnVXNaaI,Adura,2019.0,Single,01/01/2023 20:10
UCewvfSec6vlYgRV_cnMjU3g,Olamide & Oyinkanade,MPREb_8UevqEAhuBM,Adura (Remix),2014.0,Single,02/01/2023 00:01
UCHxEAq_D6CJ1sn0tocJ6GdA,J.Derobie & Joeboy,MPREb_WS2caMZ24ij,Adwoa,2022.0,Single,01/01/2023 22:49
UCbZKI-afOAF_gewoFoY-oXg,"Angelique Kidjo, Mr Eazi & Salif Keïta",MPREb_drO5nAz63cL,"Africa, One of a Kind",2021.0,Single,01/01/2023 23:44
UC25DGtgYk5TwdksvtpeWYvA,WizKid,MPREb_efJv91hbKtS,African Bad Gyal (feat. Chris Brown),2017.0,Single,02/01/2023 01:50
UClVDzJUSV0X_tp2sceFHsxA,Yemi Alade,MPREb_IglthtEaah8,African Baddie,2022.0,Album,02/01/2023 01:56
UCr61sufuLt7_eB7ak1bXHIg,Burna Boy,MPREb_uBsMuZSnmah,African Giant,2019.0,Album,01/01/2023 20:24
UCz4lijjm1xm7rJcip3ac65g,Zoro & Oxlade,MPREb_6P2wBBBxNpu,African Girl Bad,2021.0,Single,02/01/2023 00:14
UCXVjLgq7BRStQjKLnN-4o-w,M.I Abaga,MPREb_CWxAzCgPzXW,African Knockout Soundtrack,2020.0,Single,01/01/2023 23:20
UCP-_jH7CH7xXEDfAsWJLiCw,Korede Bello,MPREb_n28gdmWzBR1,African Princess,2014.0,Single,01/01/2023 23:07
UCCjfbcoH0ZYT0r1jScDHJMg,Asake,MPREb_IGHfA3WKloq,African Something,2019,Single,2-1-2023 10:16
UCmcJ2ThWCw9id0Yjjqu4HVg,krizbeatz & Teni,MPREb_tdOeJqL7mn1,African Time,2020.0,Single,02/01/2023 01:12
UCSA0ZddQC0SU0IlV6XIgbvA,1da Banton,MPREb_b94SxolhBDq,African Woman,2020.0,Single,01/01/2023 19:22
UCSdKuswRnuEUmXu-ikPxqbA,Skales,MPREb_qRxhda1DSmw,Afro Dance,2020.0,Album,02/01/2023 00:56
