Song_Id,Genre,Key,BPM
id_2ZB60SJIjTU,Afrobeats,Ebm,95.0
id_0-ygmNEGgHk,Afrobeats,Am,105.0
id_DPam3ay8ZwU,Amapiano,Em,113.0
id_r5mioKhi2nA,Others,E,91.8
id_t8bHlFFFC0E,Afrobeats,G,100.0
id_Gobp0SIfwr8,Afrobeats,Am,126.0
id_FaFSvPtw1Ns,Afrobeats,E,110.0
id_51u0voeNEIM,Others,D,84.7
id_nFQP5DGfL1U,RnB,D,140.0
id_CiVx3PRYSvU,Afrobeats,G#m,116.0
id_vgnWonQAnGg,RnB,B,142.0
id_qveWRUOZMuU,Afrobeats,Dm,96.0
id_b7PY68WZoEA,RnB,Fm,150.0
id_xTlcDMSU9fo,Reggae,D,129.0
id_f192JBTHhRQ,Afrobeats,C,122.0
id_l3W3_VDHMj0,Afrobeats,Dm,112.0
id_u_TRbmiK0Ig,Others,Dm,97.0
id_hL2EHs0l8mQ,Others,Cm,94.0
id_rA8_VYs9Nmc,Igbo Pop/Ogene,C,101.0
id_7ooQjAkr-JI,Afrobeats,Cm,105.0
id_Jza8jygeNHg,Afrobeats,F#,118.5
id_569pcG4H2b0,Afrobeats,F#,98.0
id_cQfVoeCoa9I,Afrobeats,Fm,120.0
id_d5OjCLKxsI8,Others,E,104.7
id_f_ZSbKY8hs0,RnB,Am,110.0
id_J_Td1Qsyhtk,Dancehall,A#m,100.0
id_DxV4Yt1vmg0,Afrobeats,F#m,100.0
id_vVZZaX2OOIQ,Pop,Am,126.0
id_n4GrVwys4dY,Amapiano,C#,113.0
id_FRR6XEGsPAs,Pop,F,130.0
id_EtbwTgY3AIk,Afrobeats,F#m,120.0
id_OheHR-ZQQW4,RnB,G,90.0
id_asC57QAw0kg,Afrobeats,Cm,118.0
id_TGPHDn69B_M,Dancehall,A#m,89.0
id_GN155V02GZg,Afrobeats,F#m,90.0
id_s9wKt_W6R4M,Afrodancehall,C,100.0
id_-uaIelraJJo,Afrobeats,Fm,128.0
id_-qARLWJBsEg,Afrobeats,A,118.0
id_B1FJnyuI6RY,Afrobeats,Ebm,105.0
id_M3UrjkjZsxE,Dancehall,Em,84.0
id_cwvL9Yyep4w,Afrodancehall,Em,96.0
id_Ye5kNwk5Ars,Others,G#,140.0
id_5qhEJIgnC08,Afrobeats,A,95.0
id_Qe1POz-j4oo,Afrobeats,G#m,102.0
id_h-JyyIxWKY4,Afrobeats,Dm,120.0
id_1JzY97NZ6tE,Others,G,91.2
id_-i_af7XkCXU,Afrodancehall,F#,98.0
id_LaGfs0-F_0c,Afrobeats,Gm,126.0
id_1PCqv_BmF6s,Afrobeats,D,126.0
id_DrVt3ckulvk,Others,Am,112.0
id__c0QDBgv8nY,Afrobeats,G#,102.1
id_O2FD9lDm_yk,Amapiano,Gm,116.0
id_C-3soN5O0g4,Afrobeats,F#m,121.0
id_0WOHZ9QhI9M,Afrobeats,F,100.0
id_wsliz61CdLw,Afrobeats,F,100.0
id_rgu4Djes2KM,Afrobeats,C#m,107.0
id__zXi20C-ygE,Hip Hop,C#m,88.0
id_GMbSwlJs1Kg,Others,Ebm,135.0
id_cukrI0Lcuis,Igbo Pop/Ogene,Fm,108.0
id_LyE_Xsys-8M,House,Gm,124.0
id_luCgq4tu1Vs,Others,Gm,116.1
id_6CWuvUgvuQQ,Afrobeats,G#,130.0
id_a8dqVuHmj5k,Igbo Pop/Ogene,Dm,114.0
id_Bplz1Ex9iTw,Others,Ebm,125.0
id_dw8oo3sZMwk,Others,A#,108.3
id_Ey5RCh7iios,Afrobeats,Gm,107.0
id_ntcpL1OxXRQ,Hip Hop,Am,109.0
id_Y772_ZpOQzU,Afrobeats,A#m,102.0
id_FwL2PaaD7p0,Others,A#,140.4
id_Zw-XwHnF3lI,Others,F#,100.0
id_7GME5jEkf2s,Afrobeats,A#m,109.0
id_CaKfUTWU0dw,Afrobeats,Dm,105.0
id_9y9a8adcL00,Afrobeats,Ebm,106.0
id_Ga_TOUS5STA,Afrobeats,F#m,100.0
id_87WhkOie4GM,Afrobeats,Fm,119.0
id_-qMZMyH7pWU,Afrobeats,F#m,110.0
id_7IUObEDGTaE,Afrobeats,C,120.0
id_tebpj44efOA,Afrobeats,Dm,125.0
id_exe3f-JhPAA,Dancehall,A,95.0
id_dwQJYJ0-t2w,Others,Am,104.0
id__SmGRfT7MpU,Others,Em,100.2
id_IdpS0zFTv5s,Afrodancehall,G,95.0
id_KU7Drtci87U,Afrobeats,C#m,102.0
id_7JlIcwlIPgg,Others,Ebm,89.0
id_RRx3W2Ducvc,Afrobeats,A#m,102.0
id_-2Z_hl5358I,Others,Fm,120.4
id_YZhsCC-KJaQ,Afrobeats,F,107.0
id_AhAiBT0jk7o,Afrodancehall,Dm,103.0
id_MZsh_FFnKJ0,Afrobeats,Dm,116.0
id_VS3BHKMqbu4,Igbo Pop/Ogene,C,90.0
id_KVSisQ6quYk,Amapiano,C#,113.0
id__j9nI8DmjYg,Afrodancehall,B,94.0
id_VbC5CaMTNZ4,Afrobeats,G,125.0
id_OgL3JB-jPd8,Hip Hop,Am,90.0
id_YB3aMUVnJ2Q,Afrobeats,F#,122.0
id_GGNatkWd3Us,Afrobeats,E,106.0
id_TlaupUdhRxY,Dancehall,F#m,97.0
id_Eekj3-KGhsw,Others,Cm,112.0
id_5UA2X75fWYE,Afrobeats,C#,89.0
id_gQmTef9LdwE,Afrobeats,E,153.8
id_wy_j--ljb9w,Afrobeats,G#,114.0
id_w_XbE0EFEh8,Hip Hop,Dm,136.0
id_a20oMp283Qs,Afrobeats,Dm,104.0
id_7QGEyoUjumA,Others,C#m,125.0
id_wENY_WXeNCA,Afrobeats,Em,117.0
id_u7FHaGiCMp0,Others,D,111.6
id_lZBjCo4Oams,Hip Hop,D,157.0
id_IqHvfZBRUGw,Others,Am,118.0
id_Z4MjdIQiyI0,Dancehall,F,106.0
id_DMabsyISgFc,Hip Hop,C,89.5
id_Q5iRD3evu4I,Afrobeats,Am,105.0
id_0hWEcehtMg4,Dancehall,C,103.0
id_R-mVxul90Cc,Others,Gm,86.6
id_AEPB1dx8EcQ,Amapiano,C,113.0
id_LKT-IKySIPE,Afrobeats,F#,99.5
id_l6QMJniQWxQ,Afrobeats,A#,102.0
id_5M4b-pyzVZ0,Afrobeats,Gm,118.0
